ID,Q1,Q2,Q3,Q4,E1,E2
CS793,15,11.88,18.75,16,10.88,11.25
SW396,20,19.38,21.88,25,12.27,13.59
SW776,17.5,23.13,23.13,24,22.96,22.5
CS667,15,,,19,12.41,12.97
CS800,15,18.75,16.88,15,16.62,12.19
SW615,18.75,18.44,20.63,20,19.81,17.5
SW348,23.75,18.13,19.38,24,13.8,13.59
SW967,17.5,8.44,12.5,14,9.54,10
SW748,18.75,19.38,22.5,24,16.48,11.88
SW777,17.5,10.94,10.63,16,12.83,9.84
SW178,15.84,19.38,18.75,17,20.83,15.63
CS772,12.5,18.75,18.13,20,10.46,10.63
CS759,16.25,14.69,18.13,20,10.65,15.16
SW802,,16.25,13.75,22,,16.88
SW034,11.66,11.25,10,16,6.58,9.69
SW133,8.75,13.13,13.13,14,18.66,15.47
CS784,17.5,18.75,18.13,18,18.06,13.44
SW694,13.75,16.88,18.75,23,18.94,17.03
SW695,12.5,19.38,18.75,22,15.09,12.5
SW003,0,13.44,14.38,,12.96,10.94
SW767,16.25,15.31,11.25,17,10.65,12.5
SW816,15,15.31,15,20,12.5,14.38
SW159,17.5,23.75,21.88,21,22.31,18.44
SN801,16.25,15.63,22.5,20,18.15,20.63
SW771,12.91,16.56,11.88,16,,15.63
SW783,18.34,21.88,20.63,24,21.3,21.88
SW814,18.75,,13.13,,10.19,8.44
CS778,13.75,11.25,19.38,20,13.66,
SW390,12.91,16.25,15,20,17.92,17.19
SW677,14.16,20,18.75,21,20.74,21.25
SW769,14.16,17.81,11.25,18,16.58,17.03
CS799,16.25,20,18.13,20,17.69,18.91
CS789,17.5,20,21.25,20,16.02,19.38
SW798,18.75,20.63,21.88,23,19.21,22.19
SW787,18.75,22.5,21.88,24,22.96,23.13
SW780,13.75,12.5,14.38,21,12.83,16.88
SW803,17.5,13.75,13.13,16,13.43,10.63
SW110,18.75,15.63,18.13,19,19.26,17.97
SW972,17.5,17.5,19.38,19,13.52,13.91
SW760,16.25,9.06,17.5,16,11.48,12.5
SW093,17.5,12.5,13.75,18,14.91,13.44
CS765,17.5,16.25,18.75,23,16.44,17.66
CS659,17.5,18.75,23.13,24,15.56,14.69
SW815,23.75,19.06,23.13,18,19.08,16.09
SW679,16.25,12.81,18.13,20,15.79,12.34
SW766,16.25,10.94,13.75,14,13.7,
SW838,18.75,20,18.13,17,18.33,14.38
CS779,16.25,16.25,15.63,16,11.02,11.25
SW794,20,18.13,18.75,18,11.58,11.41
SN613,12.5,13.75,13.13,18,11.3,12.66
SW792,16.25,17.19,15,13,18.01,13.28
